No,NAME,ATS4i,PEOE_VSA10,ETA_dAlpha_B,GATS7se,GATS4i,MATS1i,BCUTp-1h,B07[O-O],logP,Series
1,41,0,0,0,0,0,-0.428571429,1.78,0,0.954242509,T
2,106,1664.258868,0,0,0,0,-0.266666667,1.826064295,0,1.707570176,T
3,135,4769.052691,0,0,0,1.21125,1.46E-16,1.980916519,0,3.130333768,T
4,174,5308.101922,0,0.047619048,0,0.301448699,-0.363970845,1.86602619,0,2.681241237,T
5,208,5709.300425,0,0.041666667,0,0.479855679,-0.299496539,1.86626301,0,3.376576957,T
6,214,592.9233912,0,0.025,0,0.265883845,-0.236151883,1.869029964,0,2.361727836,T
7,238,2850.105651,0,0.02,0,0.114374553,-0.173547295,1.888517309,0,2.491361694,T
8,297,554.7529561,0,0.055555556,0,0,-0.276492791,1.786429284,0,0.720159303,T
10,349,0,0,0,0,0,-0.410377281,2.203765271,0,2.31386722,T
11,420,0,4.83626969,0,0,0,-0.397517669,2.226427043,0,0.84509804,T
12,451,0,0,0.142857143,0,0,-0.277537533,1.790033599,0,0.77815125,T
13,465,7020.845849,0,0.144345238,0.801869636,0.952361907,-0.185524027,1.853065914,0,1.127104798,T
14,498,0,0,0.071428571,0,0,-0.218920116,2.203980945,0,-0.661543506,T
16,580,2002.506975,0,0,0,1.116135818,-0.177283321,2.208000561,0,2.834420704,T
18,664,0,0,0.083333333,0,0,-0.760768643,1.683723129,0,2.834420704,T
19,675,6525.197676,5.749511833,0.018518519,0,1.067951853,0.091434614,1.989899897,0,3.483587297,T
20,731,6780.598478,12.89304249,0.047619048,0.783714199,1.034010657,-0.029153353,1.987623088,1,2.053078443,T
21,746,6098.673541,0,0.066666667,0.013587992,0.879635492,0.027260943,1.861821245,1,3.772688355,T
22,753,184.917652,0,0.125,0,0,-0.532810681,1.742734874,0,3.021189299,T
23,771,5141.922208,0,0.0625,1.571549349,0.863689506,-0.284654132,1.836680789,1,2.916453949,T
24,789,8099.832518,0,0.05,1.507612776,0.917778477,-0.194188304,1.854610181,1,2.916453949,T
25,825,8650.415497,6.103966388,0.069444444,0.95956661,1.175130105,-0.298283458,1.834265598,0,3.306425028,T
27,837,7011.418321,6.606881965,0.076923077,0.954040677,1.51512201,-0.454082061,1.793420187,0,3.989004616,T
28,886,5973.906535,0,0.006613757,0,1.058079624,0.014360077,5.538276408,0,4.205475037,T
29,933,6655.352038,6.286160523,0.033333333,1.825210399,0.894566092,0.046581701,1.857420909,0,-0.8569852,T
30,1075,26653.6945,31.52566309,0.068627451,0.854989581,1.236546686,-0.24578165,1.877617711,1,3.615950052,T
31,1091,28421.00218,37.62962948,0.106666667,1.096242041,1.25546655,0.409992266,1.874623638,1,3.673941999,T
33,223,2680.988041,0,0.0125,0,0.738566923,-0.118075942,1.924973241,0,2.806179974,T
34,247,3809.579171,0,0.01,0,0.662812277,-0.086773647,1.934716914,0,2.568201724,T
35,421,0,2.418134845,0,0,0,-0.403947475,2.215096157,0,0.139879086,T
36,476,1173.412651,0,0.142857143,0,0.200427837,-0.236025089,1.810842007,0,1.10720997,T
37,482,0,0,0.071428571,0,0,-0.353054481,1.7850168,0,1.86923172,T
39,597,3647.733897,0,0,0,0.43875,-0.157575758,1.942447486,0,2.564666064,T
40,961,10590.54095,0,0.030972222,1.094792087,0.986198469,0.139964609,2.002067731,0.5,2.463892989,T
41,963,10591.6348,0,0.030972222,0.844072609,0.97613659,0.139964609,2.002032069,0.5,2.758154622,T
43,969,9331.240286,5.749511833,0.036527778,0.472573116,0.939200089,0.111243412,1.997005592,0.5,2.85672889,T
46,977,7503.380864,0,0.036805556,0.31357535,0.976172151,0.177612265,1.993583101,0.5,2.905256049,T
47,980,9205.945236,0,0.024305556,0.651725428,0.9920903,0.159651288,2.462832315,0.5,2.895974732,T
49,986,9916.529216,0,0.035763889,0.836228414,0.975808988,0.14721408,2.00315652,0.5,2.716837723,T
50,989,9917.623066,0,0.035763889,1.020383239,0.964571362,0.14721408,2.003117416,0.5,2.777426822,T
51,994,7132.133022,0,0.038392857,0.97406687,0.990366524,0.125589392,2.018474437,0.5,2.117271296,T
53,999,7502.943137,0,0.042708333,0.706807889,0.96370564,0.115949795,2.015281307,0.5,3.003891166,T
54,1002,6916.560357,5.749511833,0.043472222,0.158997765,0.938334367,0.079979127,2.009169483,0.5,3.274619619,T
55,1004,6791.265307,0,0.03125,0.338150077,0.991224578,0.128387003,2.474996206,0.5,3.274619619,T
56,1007,8178.048726,0,0.037916667,0.304849728,0.96520899,0.108700324,2.014160264,0.5,3.199206479,T
